tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt1402547,movie,Punarjanma,Punarjanma,0,1969.0,30.0,\N,8.0,9,0.0,6.893660816404337,\N 1969.0
tt1251334,tvEpisode,Bogota: Building a Sustainable City,Bogota: Building a Sustainable City,0,2007.0,30.0,Documentary,7.1,8,0.0,6.874162367616553,Documentary 2007.0
tt1443929,tvEpisode,Juryoku no Soko no Hakaba: Part 2,Juryoku no Soko no Hakaba: Part 2,0,1978.0,24.0,"Adventure,Animation,Drama",5.5,13,0.0,6.828522432957428,Adventure Animation Drama 1978.0
tt2416512,short,Dragons 3D,Dragons: Real Myths and Unreal Creatures,0,2013.0,43.0,"Fantasy,History,Mystery",5.5,71,0.0,6.670947175060637,Fantasy History Mystery 2013.0
tt2085758,videoGame,Vib-Ribbon,Biburibon,0,1999.0,30.0,\N,8.0,19,0.0,6.918977502527807,\N 1999.0
tt3274666,movie,The Three Musketeers,Tri mushketera,0,2013.0,112.0,Adventure,3.6,227,0.0,5.7190591761312435,Adventure 2013.0
tt0318758,movie,Tholi Muddhu,Tholi Muddhu,0,1993.0,30.0,"Drama,Romance",7.0,9,0.0,6.872583533031971,Drama Romance 1993.0
tt0748461,tvEpisode,The Legend of Ha Long Bay,The Legend of Ha Long Bay,0,2000.0,23.0,"Adventure,Animation,Comedy",7.4,17,-0.05,6.890559008286555,Adventure Animation Comedy 2000.0
tt1753383,movie,A Dog's Purpose,A Dog's Purpose,0,2017.0,100.0,"Adventure,Comedy,Drama",7.2,61521,0.0,7.197771891193024,Adventure Comedy Drama 2017.0
tt5918162,tvEpisode,Star Trek Beyond,Star Trek Beyond,0,2016.0,51.0,"Comedy,Talk-Show",7.5,26,0.0,6.906741370731198,Comedy Talk-Show 2016.0
tt0503700,tvEpisode,Regret to Inform,Regret to Inform,0,2004.0,43.0,"Comedy,Drama,Family",5.7,50,0.0,6.744857197873187,Comedy Drama Family 2004.0
tt0591096,tvEpisode,Pennies from Heaven,Pennies from Heaven,0,1998.0,29.0,"Comedy,Drama,Fantasy",7.6,27,0.0,6.914141951920565,Comedy Drama Fantasy 1998.0
tt9105628,movie,"Casanova, Last Love",Dernier amour,0,2019.0,98.0,"Drama,History,Romance",4.8,216,0.25,6.164657994644561,Drama History Romance 2019.0
tt5891552,tvSeries,Regalia: The Three Sacred Stars,Regalia: The Three Sacred Stars,0,2016.0,30.0,"Action,Animation,Sci-Fi",6.8,11,0.0,6.868049344066787,Action Animation Sci-Fi 2016.0
tt3124986,movie,Summer '82: When Zappa Came to Sicily,Summer '82: When Zappa Came to Sicily,0,2013.0,81.0,"Biography,Documentary,Music",7.3,33,0.0,6.901315229722066,Biography Documentary Music 2013.0
tt0137923,movie,Through the Fog,Läpi usvan,0,1948.0,99.0,Drama,5.4,25,0.0,6.786892028452938,Drama 1948.0
tt0535999,tvEpisode,Lady on the Run,Lady on the Run,0,1975.0,60.0,"Action,Crime,Drama",7.7,25,0.0,6.9166888681820575,Action Crime Drama 1975.0
tt1676104,movie,Die Wahrheit im Spiel,Die Wahrheit im Spiel,0,2004.0,30.0,Documentary,8.1,15,0.0,6.912455354745155,Documentary 2004.0
tt3269558,tvSeries,Max En Billy's Drill Machine Girl,Max En Billy's Drill Machine Girl,0,2013.0,10.0,"Adventure,Comedy,Horror",7.7,14,0.0,6.8967434458441,Adventure Comedy Horror 2013.0
tt7831674,movie,Raoul Taburin,Raoul Taburin,0,2018.0,89.0,Comedy,6.0,390,0.0,6.449991545302787,Comedy 2018.0
